loan_status,loan_amnt,int_rate,grade,emp_length,home_ownership,annual_inc,age
0,35000,15.23,C,1,MORTGAGE,160000,23
0,3700,10.99,B,0,MORTGAGE,186000,27
0,10000,9.91,B,2,OWN,30000,32
0,6000,6.03,A,18,MORTGAGE,90000,29
0,12000,13.49,C,1,RENT,112000,26
0,5000,5.99,A,4,MORTGAGE,48000,24
0,21000,11.11,B,19,MORTGAGE,225000,25
0,7600,10.99,B,1,RENT,28000,27
0,4500,,A,0,RENT,41700,29
0,2700,,A,34,MORTGAGE,140000,27
0,1600,13.23,C,4,RENT,86000,32
0,6000,,B,0,RENT,110000,24
0,28000,7.49,A,8,MORTGAGE,157000,25
0,2500,11.71,B,17,MORTGAGE,48000,23
0,5000,12.69,B,2,RENT,33000,26
0,4000,15.62,D,19,MORTGAGE,138000,37
0,3000,7.29,A,2,RENT,70000,22
0,5700,6.17,A,5,MORTGAGE,38400,25
0,6000,9.99,B,14,RENT,45000,36
0,8000,13.8,C,12,RENT,44000,26
0,10000,15.27,C,27,RENT,55000,22
0,15000,7.49,A,5,MORTGAGE,90000,27
0,10000,6.99,A,2,MORTGAGE,34000,23
0,17000,7.9,A,6,RENT,75000,42
0,7000,8.9,A,4,RENT,85000,30
0,13000,7.29,A,7,RENT,36000,24
0,7000,9.25,B,0,RENT,60000,25
0,15200,15.95,E,25,MORTGAGE,123000,32
0,10000,6.91,A,17,MORTGAGE,45000,26
0,10500,12.69,B,11,RENT,66000,31
0,11000,7.49,A,3,RENT,56000,23
0,10000,6.99,A,20,MORTGAGE,80000,43
0,4750,5.99,A,2,RENT,60000,31
0,10000,7.49,A,6,RENT,125000,26
0,2500,12.69,B,5,RENT,45000,25
0,8000,,C,12,MORTGAGE,110000,25
0,9500,5.42,A,1,RENT,55000,53
0,4000,12.69,B,3,MORTGAGE,33000,33
0,15000,14.27,C,8,MORTGAGE,75000,22
0,6000,14.84,D,2,RENT,16800,24
0,2000,8.9,A,0,RENT,69000,43
0,2400,17.93,E,13,RENT,35004,30
0,8000,16.82,E,6,MORTGAGE,53000,22
0,6000,10.65,B,1,RENT,45000,27
0,6000,14.84,D,8,RENT,55000,21
0,14400,22.11,G,11,MORTGAGE,140000,28
0,8000,6.99,A,9,MORTGAGE,69912,26
0,30000,8.49,A,2,MORTGAGE,225000,28
0,7500,,A,2,MORTGAGE,35000,36
0,7525,11.49,B,3,RENT,50000,26
0,6500,11.11,B,17,MORTGAGE,98000,24
0,6500,13.23,C,6,RENT,70000,23
0,8000,7.14,A,1,MORTGAGE,83500,28
0,5700,7.66,A,12,RENT,46000,24
0,11000,5.42,A,8,RENT,39520,23
0,6000,5.79,A,2,MORTGAGE,53000,33
0,5000,13.85,C,4,RENT,22800,22
0,12500,5.42,A,2,RENT,182500,39
0,12000,,B,5,MORTGAGE,100000,39
0,4800,14.65,C,2,RENT,14400,28
0,8000,14.96,D,0,RENT,54996,22
0,1400,,A,9,RENT,78411,31
0,8000,13.49,C,0,RENT,86400,34
0,25000,13.8,C,6,MORTGAGE,96000,22
0,24000,10.74,B,,MORTGAGE,85000,23
0,8000,8.49,A,9,MORTGAGE,145000,25
0,1000,15.57,D,0,RENT,39600,25
0,5900,5.99,A,8,MORTGAGE,77040,35
0,25000,6.99,A,18,MORTGAGE,69000,25
0,11500,8.9,A,6,MORTGAGE,55000,26
0,4800,10.36,B,1,MORTGAGE,120000,30
0,4800,7.51,A,9,RENT,45000,25
0,8825,5.99,A,4,MORTGAGE,64000,28
0,8000,7.9,A,8,RENT,64000,24
0,3500,5.99,A,0,RENT,30000,24
0,3500,12.61,C,7,MORTGAGE,83004,23
0,7500,,D,8,RENT,125000,27
0,20000,15.96,C,6,MORTGAGE,78000,33
0,30000,8.9,A,9,MORTGAGE,150000,39
0,6500,7.29,A,37,MORTGAGE,48000,42
0,11000,13.49,C,6,RENT,29000,21
0,4500,12.99,C,6,RENT,41000,23
0,24000,11.49,B,6,MORTGAGE,85000,34
0,5000,6.92,A,7,MORTGAGE,72000,31
0,5000,7.9,A,17,OWN,37000,34
0,12000,11.99,B,5,RENT,26000,25
0,4800,10,B,2,MORTGAGE,23000,22
0,6000,10.25,B,8,RENT,66500,42
0,12000,10.37,B,0,RENT,42000,42
0,18000,14.65,C,4,RENT,60372,28
0,16000,,B,1,MORTGAGE,135000,32
0,25000,11.71,B,12,MORTGAGE,100000,23
0,3000,11.12,B,3,RENT,25000,25
0,6000,,B,16,MORTGAGE,31500,34
0,15000,15.27,C,6,RENT,185000,25
0,12000,,C,14,MORTGAGE,88000,23
0,2400,9.91,B,2,RENT,30000,33
0,10575,6.99,A,4,MORTGAGE,250000,25
0,11000,11.49,B,6,MORTGAGE,65000,24
0,6000,15.27,C,17,MORTGAGE,35900,22
0,12000,7.29,A,0,MORTGAGE,115000,27
0,2000,13.61,C,0,MORTGAGE,32000,31
0,19000,10.62,B,19,RENT,73000,24
0,20000,13.98,C,3,RENT,80000,22
0,16800,17.99,E,3,MORTGAGE,60000,41
0,4000,7.51,A,0,RENT,54996,26
0,7500,16.77,D,0,RENT,115000,29
0,10000,,D,1,RENT,36000,27
0,10000,6.99,A,24,MORTGAGE,143004,33
0,8000,,B,2,RENT,150000,27
0,10825,10.65,B,4,RENT,35000,44
0,5000,7.9,A,,MORTGAGE,86400,28
0,1800,8.49,A,,RENT,22584,26
0,25000,15.21,D,14,RENT,79416,23
0,28000,8.9,A,16,RENT,110000,26
0,6000,6.17,A,2,MORTGAGE,54000,41
0,2000,6.62,A,6,RENT,25000,24
0,9600,15.96,C,13,MORTGAGE,57000,28
0,5000,7.51,A,2,MORTGAGE,55000,44
0,16000,7.9,A,0,MORTGAGE,110000,27
0,3000,14.65,C,5,RENT,71000,22
0,10400,5.99,A,9,MORTGAGE,67000,24
0,6000,8.9,A,0,MORTGAGE,26400,24
0,10000,6.03,A,,OWN,50000,34
0,6000,9.63,B,1,RENT,72000,29
0,8900,10,B,3,RENT,116400,31
0,20700,17.43,E,9,MORTGAGE,105398,46
0,25000,11.49,B,13,RENT,130000,23
0,5500,7.51,A,17,MORTGAGE,126000,27
0,6500,10.37,B,1,MORTGAGE,110000,25
0,8000,13.49,C,3,RENT,37000,27
0,5850,9.99,B,6,RENT,44000,48
0,20000,12.73,C,6,RENT,132000,27
0,7000,10.62,B,4,RENT,28000,23
0,22750,6.54,A,0,RENT,49404,35
0,18800,7.51,A,3,MORTGAGE,82000,35
0,6000,11.71,B,1,RENT,90000,27
0,13800,8.49,A,2,RENT,79000,24
0,11200,5.42,A,3,MORTGAGE,31200,25
0,25000,,B,23,RENT,60000,27
0,24000,10.62,B,2,MORTGAGE,43300,24
0,35000,,A,18,RENT,230000,32
0,15000,16.77,D,6,RENT,95000,22
0,12000,13.11,C,5,MORTGAGE,95000,28
0,15000,7.88,A,9,RENT,40500,28
0,30000,17.49,D,5,RENT,112260,29
0,2000,14.27,C,1,MORTGAGE,27600,24
0,8000,9.63,B,1,RENT,42000,70
0,3000,14.27,C,1,MORTGAGE,120000,25
0,28000,7.9,A,8,MORTGAGE,82000,66
0,17500,11.11,B,0,OWN,38000,23
0,5000,7.29,A,6,RENT,42000,26
0,14000,16.4,E,14,MORTGAGE,70000,34
0,15000,14.79,C,1,OWN,66000,22
0,2500,15.28,D,10,MORTGAGE,42000,24
0,7050,,A,4,MORTGAGE,42000,22
0,12000,9.91,B,7,MORTGAGE,47500,24
0,8000,,A,6,MORTGAGE,66996,32
0,6000,13.98,C,13,MORTGAGE,74778,28
0,22000,6.17,A,9,MORTGAGE,90996,40
0,6000,14.65,C,15,RENT,65000,27
0,18000,14.46,D,1,RENT,180000,30
0,5600,11.11,B,3,RENT,25000,23
0,9000,11.99,B,3,MORTGAGE,48000,29
0,3000,,D,15,MORTGAGE,70000,27
0,10000,10.36,B,7,MORTGAGE,56331.24,27
0,2500,9.91,B,2,OWN,53000,26
0,17500,6.17,A,16,MORTGAGE,41600,34
0,24375,10.37,B,2,OWN,55000,37
0,5300,12.69,B,0,MORTGAGE,105000,26
0,2800,10,B,5,RENT,39000,26
0,21600,6.91,A,13,RENT,83004,28
0,17000,8.88,B,8,RENT,72194,46
0,1300,7.9,A,1,RENT,41000,26
0,2500,5.99,A,6,MORTGAGE,81000,28
0,5000,,A,5,MORTGAGE,36000,27
0,15000,10.99,B,7,RENT,43000,22
0,5600,7.49,A,6,RENT,42000,25
0,9500,5.99,A,1,RENT,28000,24
0,18000,10.65,B,4,RENT,68000,21
0,12800,15.2,D,11,RENT,65000,30
0,1000,7.88,A,5,RENT,38000,29
0,11500,9.99,B,1,MORTGAGE,63000,28
0,18225,10,B,2,MORTGAGE,49000,25
0,7200,7.51,A,3,OWN,24000,29
0,3500,5.42,A,0,RENT,42000,25
0,15000,7.49,A,3,MORTGAGE,60000,22
0,7500,16.49,D,13,RENT,51000,28
0,9000,6.54,A,1,MORTGAGE,57504,23
0,4800,12.68,C,3,RENT,40000,30
0,13850,12.68,C,7,MORTGAGE,47000,23
0,20400,10.75,B,0,MORTGAGE,121000,24
0,4375,8.49,A,5,RENT,50000,23
0,3000,5.99,A,6,MORTGAGE,30000,21
0,17500,17.19,E,5,MORTGAGE,74100,21
0,6075,8.49,A,6,MORTGAGE,28800,24
0,1800,11.12,B,35,RENT,71004,22
0,29000,15.65,D,13,MORTGAGE,88812.93,22
0,18000,7.88,A,4,RENT,72000,24
0,14000,11.99,B,7,MORTGAGE,180000,24
0,6000,12.69,B,3,RENT,80000,32
0,11500,10,B,2,RENT,92259,33
0,15000,16.77,D,4,RENT,104371.43,27
0,11000,17.99,E,19,MORTGAGE,90369,22
0,3000,5.79,A,,MORTGAGE,27000,26
0,5000,12.99,C,15,MORTGAGE,60000,23
0,12375,10.99,B,5,MORTGAGE,50000,26
0,16000,11.71,B,7,RENT,47000,29
0,2000,,D,8,RENT,42000,33
0,6400,10.36,B,0,RENT,39500,24
0,15000,14.65,C,2,MORTGAGE,75000,28
0,15000,10.99,B,5,RENT,42000,29
0,10000,10.99,B,1,RENT,42000,25
0,4500,11.71,B,4,RENT,48000,28
0,6000,10,B,26,MORTGAGE,185000,36
0,10000,7.14,A,1,MORTGAGE,107000,22
0,3200,7.51,A,0,MORTGAGE,50000,37
0,10000,6.03,A,14,MORTGAGE,80000,44
0,10000,6.62,A,4,MORTGAGE,57664,23
0,4800,,A,0,RENT,40000,27
0,5000,14.27,C,10,OWN,115000,23
0,8500,7.9,A,,MORTGAGE,25000,29
0,1200,6.62,A,7,OWN,42000,30
0,3000,7.9,A,3,MORTGAGE,75000,34
0,5200,5.99,A,2,MORTGAGE,60000,22
0,5000,13.98,C,6,RENT,30000,44
0,2500,5.42,A,2,MORTGAGE,39996,42
0,7000,10.62,B,1,RENT,30000,25
0,4000,12.99,C,,MORTGAGE,21600,22
0,12800,5.79,A,9,MORTGAGE,100000,24
0,12000,10.74,B,5,MORTGAGE,62510,23
0,3000,11.49,B,3,MORTGAGE,37000,32
0,25000,7.9,A,4,MORTGAGE,118000,26
0,4000,5.99,A,1,RENT,35000,29
0,9000,10.65,B,17,RENT,45000,23
0,2500,8.49,A,1,RENT,48000,28
0,35000,10.59,B,20,MORTGAGE,140000,25
0,5000,6.99,A,7,RENT,48000,22
0,12000,7.66,A,4,MORTGAGE,113000,23
0,5000,,A,,MORTGAGE,30000,31
0,5500,9.88,B,0,RENT,25200,33
0,8000,7.29,A,0,RENT,37648,24
0,11025,7.9,A,2,MORTGAGE,101004,27
0,11125,10.59,B,3,MORTGAGE,193086,29
0,24000,10.99,B,5,MORTGAGE,76000,22
0,3000,,A,12,MORTGAGE,58000,28
0,7000,7.66,A,2,RENT,50000,22
0,1000,,C,4,RENT,35000,22
0,3500,10.25,B,,MORTGAGE,60000,28
0,12000,6.91,A,4,RENT,62496,28
0,2000,5.42,A,13,MORTGAGE,98000,25
0,5000,7.29,A,4,RENT,48000,28
0,4000,15.23,C,2,RENT,28000,21
0,10000,6.91,A,0,RENT,31200,36
0,18250,8.9,A,7,MORTGAGE,63000,33
0,5000,16.29,D,2,OWN,24000,32
0,20000,10.62,B,0,OWN,48000,31
0,3000,,A,4,RENT,27996,22
0,9000,5.42,A,21,MORTGAGE,36000,26
0,10000,11.11,B,14,MORTGAGE,75000,34
0,10000,13.49,C,10,MORTGAGE,50000,25
0,12000,6.92,A,0,MORTGAGE,75000,23
0,6000,,B,4,RENT,28800,23
0,12100,,B,1,RENT,105000,26
0,10000,7.29,A,2,MORTGAGE,110000,34
0,25000,13.43,C,17,MORTGAGE,150000,44
0,14000,14.27,C,6,RENT,80000,34
0,16000,,B,9,MORTGAGE,55000,30
0,8000,6.03,A,12,MORTGAGE,50000,22
0,7000,7.29,A,2,MORTGAGE,65000,29
0,30000,19.29,E,26,MORTGAGE,126500,29
0,10000,14.72,C,7,MORTGAGE,38400,24
0,1000,14.22,C,5,RENT,38400,21
0,4000,15.27,C,2,MORTGAGE,44000,23
0,12000,7.9,A,4,RENT,76000,22
0,6400,,B,4,RENT,90000,34
0,10000,13.35,C,0,OWN,110000,24
0,15000,10.59,B,7,RENT,65000,36
0,3000,5.42,A,12,MORTGAGE,58000,24
0,7200,,B,4,RENT,50000,28
0,9500,14.46,D,8,RENT,40000,38
0,9600,9.91,B,24,RENT,59000,33
0,21000,12.69,B,14,MORTGAGE,267000,43
0,8000,15.96,C,4,OWN,42000,28
0,8000,5.79,A,23,MORTGAGE,78000,25
0,6000,5.99,A,14,MORTGAGE,39600,34
0,7000,,A,3,RENT,65000,26
0,28000,10.99,B,0,MORTGAGE,146990.04,25
0,3700,6.03,A,2,RENT,75000,23
0,7000,7.51,A,3,RENT,64000,29
0,5625,6.99,A,12,MORTGAGE,100000,24
0,35000,10.65,B,2,MORTGAGE,156000,26
0,3600,10.59,B,15,RENT,65000,23
0,5300,5.42,A,13,MORTGAGE,50205,23
0,5375,10.99,B,0,RENT,24000,24
0,12800,5.79,A,0,RENT,38000,30
0,4400,6.76,A,0,RENT,25000,24
0,6000,10.99,B,2,MORTGAGE,105000,26
0,9600,12.69,B,8,RENT,75000,25
0,6000,5.42,A,29,RENT,86000,22
0,6000,5.79,A,1,RENT,50000,24
0,12500,6.54,A,0,RENT,84000,23
0,9600,7.49,A,10,MORTGAGE,38000,35
0,15000,,C,29,MORTGAGE,68000,28
0,12400,7.51,A,21,MORTGAGE,36800,21
0,3000,9.99,B,32,MORTGAGE,86004,28
0,12000,12.69,B,2,MORTGAGE,65000,24
0,8500,,B,15,MORTGAGE,55000,25
0,14000,9.91,B,10,OWN,74700,34
0,5000,7.88,A,40,RENT,35000,24
0,4000,10.38,B,0,RENT,37400,32
0,14000,6.62,A,12,MORTGAGE,160000,38
0,1800,7.14,A,0,RENT,35000,24
0,3500,7.9,A,6,RENT,63945,27
0,9000,10,B,1,OWN,35004,22
0,15000,8.9,A,4,RENT,50000,36
0,10000,7.29,A,9,MORTGAGE,42504,25
0,13800,7.88,A,0,MORTGAGE,125600,28
0,7600,5.99,A,6,MORTGAGE,57400,31
0,15000,7.49,A,14,OWN,66000,25
0,2800,7.49,A,4,RENT,48000,27
0,8000,19.42,E,7,MORTGAGE,82000,39
0,16000,6.03,A,7,MORTGAGE,67200,23
0,16000,6.03,A,13,OWN,56100,33
0,6000,15.23,C,,MORTGAGE,78408,28
0,3000,14.27,C,2,RENT,74500,40
0,16000,,A,6,RENT,54000,24
0,8000,12.69,B,4,MORTGAGE,84996,30
0,20000,10.38,B,9,MORTGAGE,85000,29
0,12000,5.42,A,4,MORTGAGE,140000,23
0,3250,6.54,A,0,RENT,35000,22
0,7750,7.51,A,,OWN,21084,28
0,18000,8.49,A,7,RENT,60000,33
0,2500,16.77,D,2,RENT,28200,21
0,12000,10.37,B,6,MORTGAGE,70000,25
0,6000,,A,4,MORTGAGE,102996,33
0,15000,,B,10,RENT,121000,23
0,10000,6.99,A,,MORTGAGE,61000,23
0,7000,,C,6,MORTGAGE,51996,25
0,7000,5.42,A,4,RENT,28800,26
0,12000,7.29,A,7,MORTGAGE,73000,29
0,1000,11.49,B,27,MORTGAGE,98800,23
0,3200,8.49,A,3,MORTGAGE,76200,30
0,12000,,A,0,MORTGAGE,117960,38
0,12000,11.99,B,3,RENT,96000,25
0,2400,9.62,B,4,RENT,52800,30
0,9250,11.49,B,1,RENT,19000,28
0,16000,,D,15,MORTGAGE,72000,26
0,18000,13.06,C,0,MORTGAGE,85000,30
0,10000,9.25,B,34,MORTGAGE,63000,26
0,10000,12.98,C,0,RENT,45000,25
0,5000,14.22,C,15,RENT,39862,24
0,8200,6.91,A,2,MORTGAGE,41000,21
0,6300,16.45,E,1,RENT,32200,27
0,6500,5.42,A,4,MORTGAGE,73000,24
0,18000,13.49,C,6,RENT,78000,26
0,12000,14.27,C,0,MORTGAGE,85000,26
0,10000,7.51,A,4,RENT,90000,23
0,3000,6.76,A,3,OWN,25000,25
0,6000,7.49,A,6,MORTGAGE,97000,28
0,8500,7.49,A,4,MORTGAGE,48000,30
0,12000,7.88,A,3,RENT,100000,35
0,7000,7.29,A,18,MORTGAGE,140000,45
0,14125,8.49,A,5,RENT,39000,27
0,12000,,A,2,MORTGAGE,55000,36
0,5000,7.88,A,3,OWN,29004,43
0,7200,14.35,C,5,RENT,98500,27
0,1500,10,B,1,RENT,35000,25
0,2400,10.59,B,0,OWN,19200,22
0,10000,11.71,B,16,MORTGAGE,32000,23
0,7500,10.99,B,6,RENT,25000,37
0,3100,13.35,C,0,RENT,31200,30
0,5000,5.42,A,19,RENT,50000,22
0,15000,15.99,D,8,OWN,250000,30
0,12000,11.99,B,5,OWN,39000,34
0,11000,5.42,A,19,MORTGAGE,42000,28
0,12800,10.75,B,5,RENT,85000,32
0,6500,13.49,C,8,OWN,25000,29
0,4000,10.65,B,8,MORTGAGE,120000,23
0,9500,6.91,A,12,MORTGAGE,39000,26
0,21000,7.49,A,9,MORTGAGE,85000,35
0,11000,10.65,B,11,MORTGAGE,30000,35
0,2500,6.99,A,0,MORTGAGE,220000,29
0,6000,10.74,B,24,MORTGAGE,57600,22
0,5000,,B,6,MORTGAGE,83000,28
0,7000,5.42,A,2,MORTGAGE,50000,24
0,9000,7.49,A,37,RENT,52800,24
0,10000,,A,20,OWN,30000,25
0,5000,9.99,B,9,MORTGAGE,48000,44
0,2500,15.27,C,0,RENT,39420,31
0,1500,6.99,A,1,RENT,12000,22
0,6000,13.49,C,4,MORTGAGE,150000,27
0,6400,7.29,A,8,MORTGAGE,100000,33
0,1000,5.42,A,,OWN,50112,24
0,15000,6.03,A,0,MORTGAGE,57500,33
0,6800,13.06,C,0,MORTGAGE,77604,26
0,28000,7.9,A,15,MORTGAGE,128600,25
0,4000,7.49,A,14,MORTGAGE,24000,35
0,7700,12.42,B,2,RENT,30000,28
0,8000,13.85,C,7,MORTGAGE,110000,22
0,4000,7.88,A,4,RENT,72000,24
0,1800,11.49,B,4,RENT,48000,23
0,12000,6.91,A,4,MORTGAGE,90522,28
0,4325,7.49,A,16,MORTGAGE,44300,28
0,13000,,B,6,MORTGAGE,121000,25
0,10000,10.74,B,25,MORTGAGE,65000,42
0,4200,10.37,B,2,OWN,55600,27
0,12000,6.17,A,3,RENT,60000,28
0,20000,11.11,B,5,MORTGAGE,110000,45
0,9100,12.42,B,6,MORTGAGE,66000,35
0,6500,,B,15,MORTGAGE,38492,23
0,6000,6.92,A,0,MORTGAGE,135000,24
0,8000,13.85,C,1,RENT,45000,27
0,5000,8.9,A,2,RENT,24044,22
0,6200,,A,7,MORTGAGE,62000,24
0,10000,15.58,D,6,RENT,33900,28
0,5500,,B,0,MORTGAGE,50000.04,24
0,7200,10.59,B,7,RENT,27600,22
0,16750,16.4,E,6,MORTGAGE,51000,25
0,3600,7.49,A,9,RENT,32000,24
0,1500,,B,5,RENT,41004,21
0,9600,11.99,B,5,MORTGAGE,65000,24
0,6500,13.61,C,4,MORTGAGE,53124,22
0,3000,11.49,B,18,MORTGAGE,100000,22
0,5000,16.32,D,5,RENT,42000,22
0,25000,10.37,B,6,RENT,133300,24
0,5800,,A,5,MORTGAGE,75000,25
0,12750,15.95,D,51,MORTGAGE,105000,33
0,10000,6.62,A,8,RENT,70360,35
0,2500,10.36,B,4,RENT,70000,30
0,5000,11.12,B,4,OWN,30000,22
0,5000,10.36,B,3,RENT,42016,28
0,30000,10.65,B,13,MORTGAGE,94000,25
0,15000,15.23,C,7,MORTGAGE,38400,24
0,18250,14.27,C,8,RENT,45000,29
0,9000,10,B,0,RENT,70000,31
0,4000,11.12,B,6,RENT,42000,32
0,6000,13.61,C,6,RENT,24996,21
0,2500,9.99,B,7,RENT,42000,21
0,10000,7.51,A,0,MORTGAGE,59000,30
0,10000,8.49,A,13,RENT,35000,45
0,3000,,A,9,MORTGAGE,48156,22
0,12000,10.74,B,0,RENT,150000,31
0,7350,13.43,C,5,RENT,32500,25
0,3600,5.99,A,3,RENT,36000,22
0,4800,7.51,A,1,RENT,27000,21
0,15000,10.99,B,8,MORTGAGE,142000,40
0,5650,15.99,D,0,OWN,20000,25
0,6000,16.45,E,0,RENT,54000,26
0,6000,9.99,B,14,MORTGAGE,105000,24
0,28000,7.49,A,4,MORTGAGE,111000,21
0,3000,,C,6,OWN,49000,25
0,6075,5.99,A,3,MORTGAGE,37000,24
0,4000,11.71,B,5,MORTGAGE,37620,28
0,9250,,B,3,RENT,26000,30
0,12800,9.99,B,6,MORTGAGE,116000,52
0,7000,6.03,A,11,MORTGAGE,96000,30
0,5000,5.42,A,6,RENT,80000,23
